序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
306,臧霸,臧霸（生卒年不详），又名奴寇，字宣高，泰山郡华县（今山东费县方城镇）人，三国时期魏国名将。其父名叫臧戒，有二子臧艾与臧舜。年少时曾召集数人将获罪的父亲救出，此后四处流亡。后来成为陶谦麾下的骑都尉，负责募兵抵抗黄巾军。与孙观、尹礼等人拥兵驻屯于开阳，自成一股独立势力。于建安二年领兵击败萧建，占领莒城。导致吕布发兵攻击臧霸，而后两人和解。吕布战败后，与孙观等人投降了曹操，被任命为琅邪国相。臧霸在曹操与袁绍、孙权等诸侯的战役里，战功赫赫，官至镇东将军。曹魏建立后，臧霸被封为执金吾，领有食邑三千户。魏明帝时又加封五百户，死后追谥为“威侯”。,79,47,126,突石1鬼戟7冰柱刺15生死门24伏兵连阵31,减缓集气(初)1,铜殳,方 锥 ,锥,枪 弓 ,枪,,,谯野,襄阳登,北海登,,5
307,裴元绍,裴元绍是《三国演义》的人物，原黄巾军之武将。黄巾起义失败之后，与周仓一同率领残部在山中落草当山贼。公元200年，在关羽欲返刘备旗下，在突破曹操的五道关卡后路过其落草之地，与周仓一同向关羽要求能以期成为关羽家臣。但此时仅周仓同行，其他弟兄则于山中等待。不久后，因其欲夺偶然路过的赵云之马，反遭讨伐战败身死。,76,37,113,旋龙1地茅刺8突袭石15旋龙合璧24太极华阵31,鼓舞士气(初)1,铜殳,圆 ,圆,贼 ,贼,平原登,濮阳野,,,,,3
308,赵弘,赵弘，研究员，博士，博士生导师，北京市社会科学院副院长、中国总部经济研究中心主任、中关村创新发展研究院院长，兼任中国城市经济学会副秘书长，中国战略学研究会经济战略委员会委员、全国经济地理研究会常务理事。 享受国务院特殊津贴专家，北京市人民政府专家顾问团顾问。北京市石景山区人民政府顾问、丰台区人民政府顾问、朝阳区人大财经顾问等。,71,46,117,八面火1伏兵班阵9八面火转18烈火旋灯27,降敌士气(初)1,直剑,方 玄 ,方,贼 ,贼,宛登,,,,,,2
309,赵统,赵统，生卒年不详。赵云长子，赵广之兄。陈寿在正史《三国志》中记载赵云去世后，赵统袭爵永昌亭侯，官至蜀汉虎贲中郎督，加行领军。在罗贯中的小说《三国演义》里，其父赵云去世时，赵统前往蜀汉宫中向刘禅禀告死讯。,74,56,130,连弩1旋灯火8突剑四方17地茅乱刺26,减缓集气(初)1增加体力(初)14逼近敌军2727,短锥枪,圆 锥 雁 ,锥,枪 弓 ,枪,,,,,永安野刘备,赵云,4
310,赵云,赵云（？－229年），字子龙，常山真定人。身长八尺，姿颜雄伟，汉末三国时期蜀汉名将，与关羽、张飞并称“燕南三士”。[85] 汉末军阀混战，赵云受本郡推举，率领义从加入公孙瓒。期间结识了汉室皇亲刘备，但不久之后，赵云因为兄长去世而离开。赵云离开公孙瓒大约七年后，在邺城与刘备相见，从此追随刘备。赵云跟随刘备将近三十年，先后参加过博望坡之战、长坂坡之战、江南平定战，独自指挥过入川之战、汉水之战、箕谷之战，都取得了非常好的战果。除了四处征战，赵云还先后以偏将军任桂阳太守，以留营司马留守公安，以翊军将军督江州。除此之外，赵云于平定益州时引霍去病故事劝谏刘备将田宅归还百姓，又于关羽、张飞被害之后劝谏刘备不要伐吴，被后世赞为有大臣局量的儒将，甚至被认为是三国时期的完美人物 。赵云去世后，于蜀汉景耀四年（261年）被追谥为“顺平侯”，其“常胜将军”的形象在后世被广为流传。,98,88,186,落日弓1旋灯火7神剑12龙炮激射17三日月斩23炬石轰29剑轮舞33炬石炼狱39,保留气力(初)1诈败7增加经验(初)13离间计(中)19增加技力(中)13离间计(中)19增加技力(中)24增加体力(中)31离间计(高)37,短锥枪,锥 鱼 ,锥,枪 弓 ,枪,,刘备,新野登刘备,长沙登刘备,成都登刘备,,6
311,赵广,赵广（？—263年），三国时期蜀汉将领，赵云次子，赵统之弟。随姜维前往沓中，为牙门将。曹魏司马氏派五路大军伐蜀时，随大将军姜维与魏兵战于疆川口，姜维败绩还守剑阁，赵广于沓中战死。[1] 在罗贯中的小说《三国演义》里，其父赵云去世时，赵广与赵统前往蜀汉宫中向刘禅禀告死讯。,76,57,133,连弩1八门金锁7突袭石16生死门24三日月斩32,快速集气(初)1增加体力(初)13增加经验(初)2626,短锥枪,方 圆 玄 ,方,枪 武 ,枪,,,,,永安野刘备,赵云,4
312,赵范,赵范（生卒年不详），桂阳郡郴县（今湖南省郴州市）人，东汉末年桂阳郡太守，刘备攻桂阳郡时投降。后因怀有异心逃走，不知所踪。,44,68,112,火箭1伏焰12火箭烈23,鼓舞士气(初)1诈败9逼近敌军19太公阵2919太公阵29,直剑,箭 ,箭,刀 ,刀,桂阳野,桂阳野,桂阳野,桂阳野,桂阳登,,3
313,蒯良,蒯（kuǎi）良，字子柔，襄阳[1] 中庐人。归刘表。蒯良为刘表定下安抚荆楚的政治方向，佐其成业，被刘表誉为“雍季之论”。之后，蒯良就被刘表擢升为主簿（bù）。其后蒯良的生平，就不得而知了，《三国志》亦没有记载其卒年。与蒯越、以及同样活跃于襄阳的蒯祺（诸葛亮姐夫）或为同族兄弟。,42,86,128,地泉冲1火雷8御飞刀14雷光振杀21虎咆阳炎27雷击闪34,后选出阵1增强攻击(初)7强化武将(初)13劝降19恢复技力(中)13劝降19恢复技力(中)24喝阻敌军(中)31快速集气(高)38,直剑,玄 鱼 ,鱼,铁 ,铁,襄阳野,襄阳登,长沙登,襄阳登,襄阳登,,3
314,蒯越,蒯越（？－214年），字异度，襄阳中庐（今湖北襄阳西南）人。东汉末期人物，演义中为蒯良之弟。原本是荆州牧刘表的部下，曾经在刘表初上任时帮助刘表铲除荆州一带的宗贼（以宗族、乡里关系组成的武装集团）。刘表病逝后与刘琮一同投降曹操，后来官至光禄勋。,44,87,131,伏兵组阵1拒陆马6御飞刀13后伏连兵20绝命坝26火雷星雨33,减少疲劳(初)1诈败8逼近敌军12保护主将19增加技力(中)12保护主将19增加技力(中)25增加经验(中)30快速集气(高)38,直剑,玄 鱼 ,玄,弓 ,弓,洛阳登,襄阳登,襄阳登,新野登,,,4
315,刘巴,刘巴，生卒年不详，三国时期蜀汉将领，曾任征南将军，并参与了公元231年蜀汉丞相诸葛亮对李严的弹劾。,48,70,118,火箭1火雷10御飞刀18后伏连兵28,后选出阵1增加体力(初)9逼近敌军17保护主将24减缓集气(中)17保护主将24减缓集气(中)33,直剑,方 ,方,武 ,武,,,江州登,江州登,武陵登,,4
316,刘岱,刘岱（？－192年），字公山，东莱牟平（今山东福山西北）人，汉室宗亲，刘舆之子，刘繇之兄，汉末群雄之一，官至侍中、兖州刺史。,67,42,109,刀剑乱1伏兵班阵11突剑四方23,减缓集气(初)1,铜殳,箭 ,箭,枪 炼 ,炼,濮阳野,濮阳野,濮阳登,濮阳登,汝南登,,1
317,刘表,刘表（142年－208年），字景升，山阳郡高平县（今山东微山[1] ）人。东汉末年宗室、名士、军阀，汉末群雄之一，西汉鲁恭王刘余之后[2] 。刘表身长八尺余，姿貌温厚伟壮，少时知名于世，名列“八俊”。早年因参与太学生运动而受党锢之祸牵连，被迫逃亡，光和七年（184年），党禁解除，被大将军何进辟为掾，出任北军中候。后为荆州刺史，用蒯氏兄弟、蔡瑁等人为辅。李傕等入长安，刘表遣使奉贡，被任命为镇南将军、荆州牧、假节，封成武侯。在荆州期间，刘表恩威并著，招诱有方，使得万里肃清、群民悦服。又开经立学，爱民养士，从容自保。远交袁绍，近结张绣，内纳刘备，据地数千里，带甲十余万，称雄荆江，先杀孙坚，后又常抗曹操。然而刘表为人性多疑忌，好于坐谈，立意自守，而无四方之志，后更宠溺后妻蔡氏，使妻族蔡瑁等得权。建安十三年（208年），刘表病逝。蔡瑁等人废长立幼，奉表次子刘琮为主；曹操南征，刘琮举州投降，荆州遂没。概述内图片来源：取自《图像三国志》,63,77,140,火箭1虎咆9火箭烈16炎龙无双23火雷爆31,降敌士气(初)1混乱敌军(初)8包围敌军15减少疲劳(中)23鼓舞士气(高)15减少疲劳(中)23鼓舞士气(高)30,直剑,方 玄 ,方,刀 ,刀,洛阳登,襄阳登,襄阳登,,,,4
318,刘封,刘封（？—220年），东汉末年长沙（治今湖南湘阴）人，东汉末年将领，蜀汉昭烈帝刘备养子。有武艺，性格刚猛，气力过人。随赵云、张飞等扫荡西川，颇有战功，而后又统领孟达攻取上庸，深为刘备信任。但是后来关羽北伐曹魏，多次要求刘封起兵相助，刘封不从。而后又侵凌孟达，致其降魏。孟达与魏徐晃共袭刘封，并劝刘封投降，刘封不降，又遭部下叛变，败归成都。刘备在诸葛亮的建议下赐死刘封，刘封自裁，刘备深表痛惜。,73,64,137,突石1突石剑9突剑四方19火牛阵27,离间计(初)1增加技力(初)9鼓舞士气(中)20劝降3020劝降30,眉尖刀,雁 钩 ,钩,刀 铁 ,刀,,,,江夏登,上庸登,,4
319,刘度,刘度，零陵郡泉陵县（今湖南省永州市）人，东汉末年零陵太守。刘备征讨荆南四郡时，零陵首当其冲，刘度望风而降。在小说《三国演义》中，刘度遣其子刘贤与上将邢道荣迎战刘备军，二人欲以诈降之计取胜，但被诸葛亮识破而将计就计，二人因此中伏，邢道荣被赵云所杀，刘贤被生擒，后被放归零陵招安刘度，刘度不得已而投降，刘备仍用之为零陵太守。[1] ,61,45,106,落石1地茅刺20,离间计(初)1,短锥枪,箭 ,箭,刀 飞 ,飞,零陵野,零陵野,零陵野,零陵野,,,3
320,刘焉,刘焉（？－194年），字君郎（《华阳国志》又作君朗）。江夏郡竟陵县（今湖北省天门市）人。东汉末年宗室、军阀，汉末群雄之一，西汉鲁恭王刘余之后。刘焉初以汉朝宗室身份，拜为中郎，历任雒阳令、冀州刺史、南阳太守、宗正、太常等官。因益州刺史郄俭在益州大肆聚敛，贪婪成风，加上当时天下大乱。刘焉欲取得一安身立命之所，割据一方，于是向朝廷求为益州牧，封阳城侯，前往益州整饬吏治。郄俭为黄巾军所杀，刘焉进入益州，派张鲁盘踞汉中，张鲁截断交通，斩杀汉使，从此益州与中央道路不通。刘焉进一步对内打击地方豪强，巩固自身势力，益州因而处于半独立的状态。兴平元年（194年），刘焉因背疮迸发而逝世，其子刘璋继领益州牧。,42,78,120,伏兵组阵1虎咆8火箭烈16后伏连兵23火雷爆30,快速集气(初)1恢复技力(初)8喝阻敌军(初)15劝降21鼓舞士气(高)15劝降21鼓舞士气(高)28增加体力(中)35,直剑,圆 钩 ,圆,弓 ,弓,代县登,成都登,,,,,5
321,刘备,汉昭烈帝刘备（161年－223年6月10日），汉族，字玄德，涿郡涿县（今河北省涿州市）人，西汉中山靖王刘胜之后，蜀汉开国皇帝、政治家。史家多称其为先主。刘备少年时拜卢植为师，而后参与镇压黄巾起义、讨伐董卓等活动。因为自身实力有限，刘备在诸侯混战过程中屡屡遭受失败，所以先后依附公孙瓒、陶谦、曹操、袁绍、刘表等多个诸侯。但因其始终坚持以德服人的行为准则，受到了海内外名士的尊敬，至有陶谦、刘表等放弃让自己的儿子继承基业，而是选择将自己的领地徐州、荆州让给刘备统领。通过坚持不懈的努力，刘备于赤壁之战后，先后拿下荆州、益州，建立了蜀汉政权。而后因为关羽被东吴所害，刘备不听群臣劝阻，执意发动对吴国的战争，结果兵败夷陵，最终于章武三年（223年）病逝于白帝城，终年六十三岁，谥号昭烈皇帝，《晋书·王弥传》称之为烈祖[1] ，葬惠陵。刘备弘毅宽厚，知人待士，百折不挠，其临死前举国托付给诸葛亮的行为被陈寿赞为“古今之盛轨”[2] ，后世众多文艺作品以刘备为主角。成都武侯祠有汉昭烈庙为之纪念。,82,79,161,落石1太极门7冰柱刺14火牛阵20滚石遽压27神火旋张33冰岚刃舞37,离间计(初)1增加经验(初)7包围敌军14偷袭敌军22恢复体力(中)14偷袭敌军22恢复体力(中)28喝阻敌军(中)34,直剑,方 圆 ,圆,弓 ,弓,代县登,平原登,新野登,江夏登,成都登,,6
322,刘循,暂无,68,55,123,飞矢1八门金锁12八面火转23,快速集气(初)1增加技力(初)13包围敌军2626,眉尖刀,锥 ,锥,铁 ,铁,,,,成都登,武陵登,,4
323,刘琦,刘琦（？－209年）。兖州山阳郡高平县（今山东省济宁市微山县两城镇）人。荆州牧刘表的长子、谏议大夫刘琮兄。官至荆州刺史。建安十四年（209年）病逝。,46,85,131,火箭1火雷7虎咆震14雷光振杀21黄龙天翔28后伏兵阵34,降敌士气(初)1强化士兵(初)7强化武将(初)13保护主将19快速集气(中)13保护主将19快速集气(中)25增加经验(中)32快速集气(高)39,直剑,方 圆 ,方,弓 ,弓,,刘表,襄阳登刘表,江夏登刘表,,刘表,4
324,刘琮,刘琮（生卒年不详），山阳高平（今山东微山两城乡）人。东汉末年荆州牧刘表次子，刘琦之弟。刘表死后继承刘表官爵，当曹操大军南下之时，他在蔡瑁等人的劝说之下举荆州而降，被曹操封为青州刺史，后迁谏议大夫，爵封列侯。,43,63,106,命疗术1拒陆马13虎咆震25,减缓集气(初)1混乱敌军(初)10鼓舞士气(中)19乱阵2919乱阵29,直剑,圆 钩 ,圆,铁 ,铁,,刘表,襄阳登刘表,襄阳登刘表,,刘表,3
325,刘辟,刘辟（pì），东汉末年黄巾起义军将领。黄巾军将领。黄巾之乱后，与龚都一起率军盘踞在汝南。欲追随刘备，将汝南让给刘备。《三国演义》中，在与曹操的部将高览交战时，为保护刘备而战死。曹公与袁绍相拒於官渡，汝南黄巾刘辟等叛曹公应绍。绍遣先主将兵与辟等略许下。,72,34,106,飞矢1鬼戟9冲车19冰柱群峰27,降敌士气(初)1,铜殳,鱼 ,鱼,贼 ,贼,汝南登,汝南野,,,,,4
326,刘璋,刘璋（生卒年不详），字季玉，江夏竟陵（今湖北省天门市）人。东汉末年宗室、军阀，益州牧刘焉幼子，在父亲刘焉死后继任益州牧。刘璋为人懦弱多疑。汉中张鲁骄纵，不听刘璋号令，于是刘璋杀张鲁母弟，双方成为仇敌，刘璋派庞羲攻击张鲁，战败。后益州内乱，平定后，又有曹操将前来袭击的消息。在内外交逼之下，刘璋听信手下张松、法正之言，迎接刘备入益州，想借刘备之力，抵抗曹操。不料此举乃引狼入室，刘备反手攻击刘璋，又有法正为内应，进至成都。成都吏民都想抵抗刘备，但刘璋为百姓计而开城出降，群下莫不流涕。刘备占据成都后，刘璋以振威将军的身份被迁往荆州居住，关羽失荆州后，刘璋归属东吴，被孙权任命为益州牧，不久后去世，卒年不详。（概述内图片来源：叶雄《三国演义人物谱》）,42,64,106,命疗术1火雷13拒陆马25,保留气力(初)1诈败11喝阻敌军(初)20保护主将2920保护主将29,直剑,圆 钩 ,圆,弓 ,弓,代县登刘焉,成都登刘焉,成都登刘焉,成都登刘璋,武陵登,刘焉,5
327,刘贤,刘贤是《三国演义》中的一个虚构人物，他的身份是刘表辖下零陵太守刘度之子。父亲是刘度，曾经被诸葛亮抓住后又放回。,62,55,117,飞矢1突石剑21,快速集气(初)1增强攻击(初)14增加经验(初)2626,眉尖刀,钩 ,钩,弓 ,弓,,零陵野,零陵野,零陵野,庐陵登,,3
328,刘晔,刘晔（？－234年），字子扬，淮南成德人，是光武帝刘秀之子阜陵王刘延的后代，三国时期魏国著名的战略家。刘晔年少知名，人称有佐世之才，初仕庐江太守刘勋，识破孙策的伪盟之计。后随刘勋投奔曹操，成为曹操手下举足轻重的谋士，他屡献妙计，对天下形势的发展往往一语中的，料事如神，筹谋画策，又慧眼识人。刘晔历仕数朝，是曹魏的三朝元老。官职太中大夫、大鸿胪，封爵东亭侯。青龙二年（234年）去世，谥曰景侯。,40,84,124,地泉冲1伏焰6虎咆震14地泉裂劲20地泉鲸浪26后伏兵阵34,扰乱敌将(初)1增加技力(初)7降敌士气(中)13包围敌军20保留气力(中)13包围敌军20保留气力(中)27混乱敌军(中)33,直剑,圆 鱼 ,圆,铁 ,铁,,濮阳野,濮阳登,北平登,陈留登,,5
329,刘禅,刘禅(shàn)（207年－271年），男，汉族，即蜀汉怀帝，又称后主，字公嗣，小名阿斗。三国时期蜀汉末代皇帝（223年—263年在位），汉昭烈帝刘备之子，母亲是昭烈皇后甘氏。刘禅早年生于荆州，多次遭遇灾难，幸得大将赵云相救。刘备攻取益州，建立蜀汉后，册立为太子。章武三年（223年），继位为帝，年号建兴，信任相父诸葛亮，支持北伐战争。后期不理朝政，宠信宦官黄皓，国力走向衰弱。景耀六年（263年），魏国大将军司马昭派钟会和邓艾分兵攻蜀，刘禅投降邓艾。蜀汉灭亡后，刘禅被封为安乐公，和蜀汉大臣被迁往洛阳居住。西晋泰始七年（271年），刘禅在洛阳去世，享年六十五岁，谥号为思。西晋末年，汉赵刘渊称帝，追谥刘禅为汉朝孝怀皇帝。[1] ,38,51,89,落月弓1火箭烈22,减缓集气(初)1增强攻击(初)23,直剑,圆 ,圆,武 铁 ,武,,刘备,刘备,刘备,成都野刘备,刘备,3
330,刘繇,暂无,42,60,102,地泉冲1伏焰21,减缓集气(初)1恢复体力(初)14扰乱敌将(中)2525,直剑,玄 鱼 ,玄,刀 ,刀,寿春登,寿春登,寿春野,寿春野,,,1
331,审配,审配（？－204年），字正南，魏郡阴安（今河南清丰北）人。东汉末年军阀袁绍帐下谋臣。审配为人正直， 袁绍领冀州，审配被委以腹心之任，并总幕府。河北平定，袁绍以审配，逢纪统军事，审配恃其强盛，力主与曹操决战。曾率领弓弩手大破曹军于官渡。官渡战败，审配二子被俘，反因此受谮见疑，幸得逢纪力保。袁绍病死，审配等矫诏立袁尚为嗣，导致兄弟相争，被曹操各个击破。曹操围邺，审配死守数月，终城破被擒，拒不投降，慷慨受死。（概述内图片取自《三国演义连环画人物》）,73,68,141,飞矢1突石剑9突袭石19火牛阵27,鼓舞士气(初)1增强攻击(初)9喝阻敌军(初)18保护主将2818保护主将28,直剑,雁 ,雁,刀 ,刀,南皮野,南皮登,北平登,,,,6
332,樊稠,樊稠（？—195年），凉州金城（治今甘肃永靖西北）人。东汉末年军阀、将领。官至右将军，封万年侯。原为董卓部将，董卓死后，伙同李傕、郭汜、张济等人合众十余万反扑长安，败吕布、杀王允，把持朝政。后马腾因与李傕有隙，于是联合韩遂举兵进攻，李傕派樊稠、郭汜等与其交战，大败马腾、韩遂于长平观下。樊稠追至陈仓，与韩遂友好罢兵，却遭李傕猜疑。兴平二年（195年），李傕让外甥骑都尉胡封在会议上将樊稠刺死（一说趁醉用杖击杀）。（概述图片来源：[1] ）,82,38,120,连弩1八面火8突袭石13烈火旋灯21太极华阵27龙炮灭杀34,减少疲劳(初)1,眉尖刀,方 玄 ,方,刀 ,刀,西凉登,洛阳登,,,,,3
333,乐进,乐进（？－218年），字文谦，阳平郡卫侯国（今河南清丰）人。东汉末年名将。乐进以其胆烈而成为曹操帐下吏，南征北讨。攻获嘉，斩俘数千。在官渡之战时，斩袁绍部将淳于琼。又从击袁谭、袁尚于黎阳，斩其大将严敬。又大破黄巾、雍奴、管承。从平荆州，留屯襄阳。刘备入蜀后，乐进击退关羽、苏非，降伏南郡蛮夷，又大破刘备的临沮长、旌阳长。后来，跟从曹操征讨孙权，获假节。曹操自合肥还，留下乐进与张辽、李典屯于合肥[1-5] 。建安二十三年（218年）逝世，谥曰威侯。后世将乐进称为曹魏“五子良将”之一[6] 。,83,56,139,刀剑乱1地茅刺8神剑14旋龙合璧20神剑闪26剑轮舞34,鼓舞士气(初)1增加体力(初)14鼓舞士气(中)2626,铜殳,方 钩 ,方,飞 ,飞,陈留野,陈留登,长安登,陈留登,,,3
334,潘凤,潘凤，是罗贯中的小说《三国演义》中的虚构人物。出处于小说第五回，太守韩馥曰：“吾有上将潘凤，可斩华雄。”,75,39,114,连弩1鬼戟8连弩激射16龙炮激射24连弩狂涛31,减少疲劳(初)1,眉尖刀,方 ,方,炼 ,炼,邺登,邺登,,,,,2
335,潘璋,潘璋（？－234年），字文珪，东郡发干（今山东冠县东）人。三国时期吴国将领。潘璋年轻时家贫，跟随孙权后得到其赏识，加上其作战勇猛，不断升迁，其一生为孙权东征西讨，在合肥之战、追擒关羽、夷陵之战、江陵保卫战中多次立下战功。但其为人奢侈贪财。经常设立军市，又劫杀将士以获得财物，但孙权念其有功未予深究。被陈寿盛赞为“江表之虎臣”[1] 。在小说《三国演义》中，描写潘璋擒获关羽，并夺取了青龙偃月刀及赤兔马，而且描写了在夷陵之战被为父报仇的关兴所杀，但实际上都是虚构的小说效果。,74,48,122,突石1回天术9冰柱刺15乱飞矢22神剑闪31,后选出阵1增加技力(初)25,眉尖刀,方 ,方,飞 ,飞,,,庐江登,鄱阳登,予章登,,4
336,潘浚,潘濬（一作潘浚）（？－239年），字承明。武陵郡汉寿县（今湖南汉寿）人。三国时期吴国重臣，蜀汉大司马蒋琬的表弟。潘濬为人聪察，对问有机理，拜大儒宋忠为师，得到“建安七子”之一的王粲赏识。不到三十，即被荆州牧刘表任命为江夏从事，因按杀贪污的沙羡长而闻名。建安十六年（211年），被刘备任命为荆州治中从事，与守臣关羽不睦[1] 。建安二十四年（219年），孙权得荆州，拜潘濬为辅军中郎将。又迁奋威将军，封常迁亭侯。孙权称帝后，拜少府，进封刘阳侯，又改太常。黄龙三年（231年），授假节，与吕岱率军五万平五溪蛮夷叛乱，经三年而斩获数万，使得一方宁静。潘濬为人刚正不阿，在吕壹弄权时，屡请孙权将其诛杀。甚至想亲手击杀吕壹，使吕壹对他非常畏惧。赤乌二年（239年），潘濬去世。概述图片来源：三国志12,42,68,110,命疗术1虎咆11拒陆马24,减缓集气(初)1混乱敌军(初)10降敌士气(中)19偷袭敌军2919偷袭敌军29,直剑,冲 ,冲,飞 武 ,武,,,武陵野,武陵野,武陵登,,2
337,蒋钦,蒋钦是由游卡桌游推出的桌上游戏《三国杀国战》扩展包《君临天下·阵》中的一张武将牌。蒋钦是吴势力，2阴阳鱼武将。设计来源为汉末东吴名将蒋钦。[1] ,78,74,152,落石1太极门8冲车15火牛阵23驷冲车29,保留气力(初)1增强攻击(初)8逼近敌军15太公阵25保留气力(中)15太公阵25保留气力(中)32,铜殳,圆 锥 ,锥,刀 ,刀,,予章野,吴登,吴登,予章登,,4
338,蒋琬,蒋琬（？～246年），字公琰。零陵郡湘乡县人。三国时期蜀汉宰相，与诸葛亮、董允、费祎合称“蜀汉四相”。[1] 蒋琬最初随刘备入蜀，为广都县长。因其不理政事，惹怒刘备，在诸葛亮的劝说下才免于一死。后重获启用，受到诸葛亮的悉心培养，累官丞相长史兼抚军将军。建兴十二年（234年），诸葛亮去世，蒋琬继其执政，拜尚书令，又加行都护、假节，领益州刺史，再迁大将军，录尚书事，封安阳亭侯。延熙元年（238年），受命开府，加大司马，总揽蜀汉军政。曾制定由水路进攻曹魏的计划，但未被采纳。延熙九年（246年），蒋琬病逝，谥号为恭。[2] ,56,91,147,伏兵组阵1火雷7雷光波动12后伏连兵19绝命坝25火箭天袭30雷光燋狱36,降敌士气(初)1强化士气(初)6包围敌军13减少疲劳(中)19恢复体力(中)13减少疲劳(中)19恢复体力(中)24喝阻敌军(中)31保留气力(高)37,直剑,玄 鱼 ,玄,铁 ,铁,,,零陵野,永安野,梓潼登,,5
339,蒋干,蒋干（生卒年不详），字子翼，九江（治今安徽寿县）人，东汉末年名士、辩论家。有仪容，以才辩见称，独步江、淮之间，莫与为对，曾受曹操指派前往东吴游说周瑜为其效力，干回后称瑜雅量高致，非言辞所间[2] 。但罗贯中在小说《三国演义》中将蒋干刻画成了被周瑜愚弄的小丑形象。,41,70,111,木轮攻1火雷10拒陆马18地泉裂劲27,离间计(初)1增强攻击(初)9逼近敌军16包围敌军25恢复技力(中)16包围敌军25恢复技力(中)32,直剑,钩 ,钩,弩 ,弩,,,谯登,襄阳登,,,2
340,蒋义渠,蒋义渠，东汉末年袁绍部下将军。袁绍败于曹操，走至黎阳北岸，入其营，把其手曰：“孤以首领相付矣！”义渠避帐而处之，使宣号令。众闻绍在，稍复归之。按三国志云袁绍有将军蒋奇，或蒋奇即字义渠。,72,41,113,刀剑乱1地茅刺9冰柱刺19地茅乱刺28,减少疲劳(初)1,短锥枪,锥 ,锥,枪 武 ,枪,平原野,平原野,谯登,北平野,北平野,,3
341,蒋济,蒋济（188年—249年5月18日），字子通，楚国平阿（今安徽省怀远县常坟镇孔岗）人。三国后期曹魏名臣，历仕曹操、曹丕、曹睿、曹芳四朝。蒋济在汉末出任九江郡吏、扬州别驾。后被曹操聘为丹杨太守，不久升任丞相府主薄，西曹属，成为曹操的心腹谋士。魏文帝时期，蒋济出任东中郎将，代替曹仁统率大军，后升任尚书。魏明帝时期，蒋济出任中护军，封侯关内，功勋颇多。景初年间担任护军将军、散骑常侍等职。曹芳继位之后，转任领军将军，封昌陵亭侯，又代司马懿为太尉。正始十年（249年），蒋济随司马懿推翻曹爽势力之后，晋封都乡侯，同年卒（一说为蒋济觉得失信于曹爽，不久后自责忧愤而死），谥曰景侯。,43,86,129,命疗术1炎龙7御飞刀14炎龙无双21绝命坝27后伏兵阵33,减缓集气(初)1增加技力(初)7降敌士气(中)14太公阵18恢复体力(中)14太公阵18恢复体力(中)26增加体力(中)32减缓集气(高)37,直剑,圆 雁 鱼 ,圆,弓 ,弓,,,,许昌登,寿春登,,3
342,蔡中,小说《三国演义》里的人物，荆将蔡瑁的族弟。刘备依附荆州时，蔡瑁深忌刘备，设计欲于宴会上构杀之，蔡中奉命把守襄阳南门。后来刘琮举荆州降魏，蔡氏随降。蔡瑁因善养水军而见封水军大都督，蔡中亦从为副将。周瑜设反间计，使曹操杀掉蔡瑁、张允，曹操遂使蔡中、蔡和往吴军处诈降，负责刺探敌情；周瑜知而纳之，令在甘宁手下为前部。赤壁开战当晚，甘宁引蔡中深入曹寨，一刀斩其于马下。,56,42,98,旋龙1八面火22,减少疲劳(初)1,眉尖刀,锥 ,锥,枪 弩 ,弩,,,江陵登,江陵登,,,2
343,蔡和,小说《三国演义》的人物，荆将蔡瑁的族弟。刘备依附荆州时，蔡瑁深忌刘备，设计欲于宴会上构杀之，蔡和奉命守把襄阳东门岘山大路。后来刘琮举荆州降魏，蔡氏随降。蔡瑁因善养水军而见封水军大都督，蔡和亦从为副将。周瑜设反间计，使曹操杀掉蔡瑁、张允，曹操遂使蔡和、蔡中往吴军处诈降，负责刺探敌情；周瑜知而纳之，令在甘宁手下为前部。赤壁开战当晚前夕，周瑜唤出蔡和，将其斩首祭旗。,59,41,100,突石1旋灯火21,减缓集气(初)1,直剑,钩 ,钩,刀 武 ,刀,,,江陵登,江陵登,,,2
